Relation Name	Module	Level	Context	Notation	Formal Definition	OWL Characteristics	OWL / CCO Realization	subPropertyOf	Domain	Range	IRI	Provenance	Notes
Environs	core/bfo-2020	Instance-level	Spatial	—	—	—	BFO	—	Site	Site	obo:BFO_0000183	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Exists At	core/bfo-2020	Instance-level	Time-indexing	—	—	—	BFO	—	Continuant	Temporal Region	obo:BFO_0000108	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
First Instant Of	core/bfo-2020	Instance-level	Temporal	—	—	—	BFO	—	Temporal Instant	Temporal Region	obo:BFO_0000221	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Generically Depends On	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Generically Dependent Continuant	Independent Continuant	obo:BFO_0000084	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has Continuant Part	core/bfo-2020	Instance-level	Mereology	—	—	owl:TransitiveProperty	BFO	—	Continuant	Continuant	obo:BFO_0000178	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has First Instant	core/bfo-2020	Instance-level	Temporal	—	—	—	BFO	—	Temporal Region	Temporal Instant	obo:BFO_0000222	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has History	core/bfo-2020	Instance-level	Time-indexing	—	—	—	BFO	—	Independent Continuant	Process	obo:BFO_0000185	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has Last Instant	core/bfo-2020	Instance-level	Temporal	—	—	—	BFO	—	Temporal Region	Temporal Instant	obo:BFO_0000224	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has Material Basis	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Disposition	Material Entity	obo:BFO_0000218	[QUERIED-BFO]	Domain reflects BFO 2020 release
Has Member Part	core/bfo-2020	Instance-level	Mereology	—	—	—	BFO	obo:BFO_0000178	Object Aggregate	Object	obo:BFO_0000115	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has Occurrent Part	core/bfo-2020	Instance-level	Mereology	—	—	owl:TransitiveProperty	BFO	—	Occurrent	Occurrent	obo:BFO_0000117	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has Participant	core/bfo-2020	Instance-level	Participation	—	—	—	BFO	—	Occurrent	Continuant	obo:BFO_0000057	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has Realization	core/bfo-2020	Instance-level	Realization	—	—	—	BFO	obo:BFO_0000055	Role ∪ Disposition ∪ Function	Process	obo:BFO_0000054	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Has Temporal Part	core/bfo-2020	Instance-level	Mereology	—	—	owl:TransitiveProperty	BFO	obo:BFO_0000117	Occurrent	Occurrent	obo:BFO_0000121	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
History Of	core/bfo-2020	Instance-level	Time-indexing	—	—	—	BFO	—	Process	Independent Continuant	obo:BFO_0000184	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Inheres In	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Specifically Dependent Continuant	Independent Continuant	obo:BFO_0000197	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Is Carrier Of	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Independent Continuant	Generically Dependent Continuant	obo:BFO_0000101	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Is Concretized By	core/bfo-2020	Instance-level	Information	—	—	—	BFO	—	Generically Dependent Continuant	Specifically Dependent Continuant	obo:BFO_0000058	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Last Instant Of	core/bfo-2020	Instance-level	Temporal	—	—	—	BFO	—	Temporal Instant	Temporal Region	obo:BFO_0000223	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Located In	core/bfo-2020	Instance-level	Spatial	—	—	—	BFO	—	Independent Continuant	Independent Continuant	obo:BFO_0000171	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Location Of	core/bfo-2020	Instance-level	Spatial	—	—	—	BFO	—	Independent Continuant	Independent Continuant	obo:BFO_0000124	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Material Basis Of	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Material Entity	Disposition	obo:BFO_0000127	[QUERIED-BFO]	Domain reflects BFO 2020 release
Member Part Of	core/bfo-2020	Instance-level	Mereology	—	—	—	BFO	obo:BFO_0000176	Object	Object Aggregate	obo:BFO_0000129	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Occupies Spatial Region	core/bfo-2020	Instance-level	Spatial	—	—	—	BFO	—	Material Entity	Spatial Region	obo:BFO_0000210	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Occupies Spatiotemporal Region	core/bfo-2020	Instance-level	Spatial	—	—	—	BFO	—	Process	Spatiotemporal Region	obo:BFO_0000200	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Occupies Temporal Region	core/bfo-2020	Instance-level	Temporal	—	—	—	BFO	—	Occurrent	Temporal Region	obo:BFO_0000199	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Occurrent Part Of	core/bfo-2020	Instance-level	Mereology	—	—	owl:TransitiveProperty	BFO	—	Occurrent	Occurrent	obo:BFO_0000132	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Occurs In	core/bfo-2020	Instance-level	Spatial	—	—	—	BFO	—	Process	Site ∪ Material Entity	obo:BFO_0000066	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Participates In	core/bfo-2020	Instance-level	Participation	—	—	—	BFO	—	Continuant	Occurrent	obo:BFO_0000056	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Preceded By	core/bfo-2020	Instance-level	Temporal	—	—	owl:TransitiveProperty	BFO	—	Occurrent	Occurrent	obo:BFO_0000062	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Precedes	core/bfo-2020	Instance-level	Temporal	—	—	owl:TransitiveProperty	BFO	—	Occurrent	Occurrent	obo:BFO_0000063	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Realizes	core/bfo-2020	Instance-level	Realization	—	—	—	BFO	—	Process	Role ∪ Disposition ∪ Function	obo:BFO_0000055	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Spatially Projects Onto	core/bfo-2020	Instance-level	Spatial	—	—	—	BFO	—	Spatiotemporal Region	Spatial Region	obo:BFO_0000216	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Specifically Depended On By	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Entity	Specifically Dependent Continuant	obo:BFO_0000194	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Specifically Depends On	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Specifically Dependent Continuant	Entity	obo:BFO_0000195	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Temporal Part Of	core/bfo-2020	Instance-level	Mereology	—	—	owl:TransitiveProperty	BFO	obo:BFO_0000132	Occurrent	Occurrent	obo:BFO_0000139	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Temporally Projects Onto	core/bfo-2020	Instance-level	Temporal	—	—	—	BFO	—	Spatiotemporal Region	Temporal Region	obo:BFO_0000153	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Denotes	core/iao-information	Instance-level	Information	—	Designative ICE denotes Entity	—	IAO	—	Designative Information Content Entity	Entity	obo:IAO_0000219	[QUERIED-IAO]	v3.2 had wrong IRI (cco:ont00001052 — does not exist in loaded data); correct is obo:IAO_0000219
Designates	core/iao-information	Instance-level	Information	—	Designative Name designates Entity	—	CCO	—	Designative Name	Entity	cco:ont00001916	[QUERIED-CCO]	v3.2 had wrong IRI (cco:ont00001058 — does not exist in loaded data); correct is cco:ont00001916; no super-property declared in loaded CCO
Is About	core/iao-information	Instance-level	Information	—	ICE is about Entity	—	IAO	—	Information Content Entity	Entity	obo:IAO_0000136	[QUERIED-IAO]	Resolved 2026-05-05 to option (a) per SME decision: IAO is the canonical source. CCO parallel cco:ont00001808 noted but not used (no equivalence declared in loaded data). v0.2 may revisit equivalence assertion if Phase 5+ corpus surfaces a need.
Is Token Of	[V0.2-CANDIDATE]	Instance-level	Information	—	Information Quality concretizes an ICE	—	—	—	Specifically Dependent Continuant	Information Content Entity	[V0.2-DEFERRED]	[V0.2-CANDIDATE]	Resolved 2026-05-05 to option (c) per SME decision: drop from v0.1 IAO module. Reasons rejected: (a) cco:ont00001761 'is tokenized by' is wrong-direction inverse and would emit semantically-inverted FOL; (b) minting as OFI extension contradicts ADR-008's OFI-deferred-to-v0.2 ruling. v0.1 IAO module ships with 3 relations (Denotes, Designates, Is About) instead of 4. Forward-tracked to v0.2 candidate list; row preserved here so Phase 5+ corpus authoring can re-activate it.
Accessory In	cco/realizable-holding	Instance-level	CCO/Agency	—	Accessory participates in Process	—	CCO	cco:ont00001787	Agent	Process	cco:ont00001852	[QUERIED-CCO]	Chains to BFO_0000056 participates_in via cco:ont00001787 (agent in)
Accomplice In	cco/realizable-holding	Instance-level	CCO/Agency	—	Accomplice participates in Process	—	CCO	cco:ont00001787	Agent	Process	cco:ont00001895	[QUERIED-CCO]	Chains to BFO_0000056 participates_in via cco:ont00001787
Affects	cco/realizable-holding	Instance-level	CCO/Agency	—	Process affects Entity	—	CCO	obo:BFO_0000057	Process	Entity	cco:ont00001834	[QUERIED-CCO]	Direct sub-property of BFO_0000057 has_participant
Agent In	cco/realizable-holding	Instance-level	CCO/Agency	—	Agent participates in Process as agent	—	CCO	obo:BFO_0000056	Agent	Process	cco:ont00001787	[QUERIED-CCO]	Direct sub-property of BFO_0000056 participates_in
Capability Of	cco/realizable-holding	Instance-level	CCO/Realizable	—	Capability inheres in bearer	—	CCO	obo:BFO_0000197	Disposition	Independent Continuant	cco:ont00001889	[QUERIED-CCO]	Multi-ancestor: chains to both BFO_0000197 inheres_in and BFO_0000195 specifically_depended_on_by; both ancestors map to realizable-holding
Has Accessory	cco/realizable-holding	Instance-level	CCO/Agency	—	inverse of accessory in	owl:inverseOf	CCO	obo:BFO_0000057	Process	Agent	cco:ont00001949	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Has Accomplice	cco/realizable-holding	Instance-level	CCO/Agency	—	inverse of accomplice in	owl:inverseOf	CCO	obo:BFO_0000057	Process	Agent	cco:ont00001830	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Has Agent	cco/realizable-holding	Instance-level	CCO/Agency	—	inverse of agent in	owl:inverseOf	CCO	obo:BFO_0000057	Process	Agent	cco:ont00001833	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Has Capability	cco/realizable-holding	Instance-level	CCO/Realizable	—	bearer has Capability	—	CCO	obo:BFO_0000196	Independent Continuant	Disposition	cco:ont00001954	[QUERIED-CCO]	Multi-ancestor: chains to both BFO_0000196 bearer_of and BFO_0000194 specifically_depends_on; both ancestors map to realizable-holding
Has Input	cco/realizable-holding	Instance-level	CCO/Process	—	Process has Input	—	CCO	obo:BFO_0000057	Process	Entity	cco:ont00001921	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Has Object	cco/realizable-holding	Instance-level	CCO/Process	—	Process has Object	—	CCO	obo:BFO_0000057	Process	Entity	cco:ont00001778	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Has Output	cco/realizable-holding	Instance-level	CCO/Process	—	Process has Output	—	CCO	obo:BFO_0000057	Process	Entity	cco:ont00001986	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Has Recipient	cco/realizable-holding	Instance-level	CCO/Communication	—	Process has Recipient	—	CCO	obo:BFO_0000057	Process	Agent	cco:ont00001922	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Has Sender	cco/realizable-holding	Instance-level	CCO/Communication	—	Process has Sender	—	CCO	obo:BFO_0000057	Process	Agent	cco:ont00001844	[QUERIED-CCO]	Direct sub-property of BFO_0000057
Is Affected By	cco/realizable-holding	Instance-level	CCO/Agency	—	inverse of affects	owl:inverseOf	CCO	obo:BFO_0000056	Entity	Process	cco:ont00001886	[QUERIED-CCO]	Direct sub-property of BFO_0000056
Is Input Of	cco/realizable-holding	Instance-level	CCO/Process	—	inverse of has input	owl:inverseOf	CCO	obo:BFO_0000056	Entity	Process	cco:ont00001841	[QUERIED-CCO]	Direct sub-property of BFO_0000056
Is Object Of	cco/realizable-holding	Instance-level	CCO/Process	—	inverse of has object	owl:inverseOf	CCO	obo:BFO_0000056	Entity	Process	cco:ont00001936	[QUERIED-CCO]	Direct sub-property of BFO_0000056
Is Output Of	cco/realizable-holding	Instance-level	CCO/Process	—	inverse of has output	owl:inverseOf	CCO	obo:BFO_0000056	Entity	Process	cco:ont00001816	[QUERIED-CCO]	Direct sub-property of BFO_0000056
Receives	cco/realizable-holding	Instance-level	CCO/Communication	—	Recipient receives in Process	—	CCO	obo:BFO_0000056	Agent	Process	cco:ont00001978	[QUERIED-CCO]	Direct sub-property of BFO_0000056
Sends	cco/realizable-holding	Instance-level	CCO/Communication	—	Sender sends in Process	—	CCO	obo:BFO_0000056	Agent	Process	cco:ont00001993	[QUERIED-CCO]	Direct sub-property of BFO_0000056
Coincides With	cco/mereotopology	Instance-level	Mereotopology	—	specialization of Connected With	owl:SymmetricProperty	CCO	cco:ont00001810	Immaterial Entity	Immaterial Entity	cco:ont00001791	[QUERIED-CCO]	Chains to cco:ont00001810 connected_with (CCO mereotopological primitive)
Connected With	cco/mereotopology	Instance-level	Mereotopology	C(x,y)	Primitive (mereotopological connection)	owl:SymmetricProperty	CCO	—	Immaterial Entity	Immaterial Entity	cco:ont00001810	[QUERIED-CCO]	BFO/CCO leave C primitive (no super-property in loaded CCO). Module assigned by primitive-allowlist exception. To recover mereotopological inference, layer bridge axioms in OFI: P(x,y) → ∀z (C(z,x) → C(z,y)). Do NOT define C as immaterial overlap — that conflates external connection with overlap.
Disconnected With	cco/mereotopology	Instance-level	Mereotopology	—	negation of Connected With (primitive)	owl:SymmetricProperty	CCO	—	Immaterial Entity	Immaterial Entity	cco:ont00001838	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics (mereotopological negation pattern). Confirmed 2026-05-05 by SME label-semantic review: paired with Connected With's mereotopology assignment; mereotopology is correct module.
Externally Connects With	cco/mereotopology	Instance-level	Mereotopology	—	specialization of Connected With	owl:SymmetricProperty	CCO	cco:ont00001810	Immaterial Entity	Immaterial Entity	cco:ont00001931	[QUERIED-CCO]	Chains to cco:ont00001810 connected_with
Has Nontangential Part	cco/mereotopology	Instance-level	Mereotopology	—	bearer has Nontangential Part	—	CCO	cco:ont00001855	Independent Continuant	Independent Continuant	cco:ont00001989	[QUERIED-CCO]	Multi-hop: chains via cco:ont00001855 has_spatial_part to BFO_0000178
Has Process Part	cco/mereotopology	Instance-level	Mereology	—	Process has Process Part	—	CCO	obo:BFO_0000117	Process	Process	cco:ont00001777	[QUERIED-CCO]	v3.2 had wrong module (cco/realizable-holding); rule resolves to cco/mereotopology
Has Spatial Part	cco/mereotopology	Instance-level	Spatial	—	bearer has Spatial Part	—	CCO	obo:BFO_0000178	Independent Continuant	Independent Continuant	cco:ont00001855	[QUERIED-CCO]	Direct sub-property of BFO_0000178
Has Tangential Part	cco/mereotopology	Instance-level	Mereotopology	—	bearer has Tangential Part	—	CCO	cco:ont00001855	Independent Continuant	Independent Continuant	cco:ont00001909	[QUERIED-CCO]	Multi-hop: chains via cco:ont00001855 has_spatial_part to BFO_0000178
Is Part Of Process	cco/mereotopology	Instance-level	Mereology	—	Process is Part Of Process	—	CCO	obo:BFO_0000132	Process	Process	cco:ont00001857	[QUERIED-CCO]	v3.2 had wrong module (cco/realizable-holding); rule resolves to cco/mereotopology
Is Site Of	cco/mereotopology	Instance-level	Spatial	—	Site is Site Of Process	—	CCO	obo:BFO_0000183	Site	Process	cco:ont00001845	[QUERIED-CCO]	Direct sub-property of BFO_0000183 environs
Nontangential Part Of	cco/mereotopology	Instance-level	Mereotopology	—	inverse of has nontangential part	owl:inverseOf	CCO	cco:ont00001944	Independent Continuant	Independent Continuant	cco:ont00001827	[QUERIED-CCO]	Multi-hop: chains via cco:ont00001944 spatial_part_of to BFO_0000176
Occurs At	cco/mereotopology	Instance-level	Spatial	—	Process occurs at Spatial Region	—	CCO	obo:BFO_0000066	Process	Site	cco:ont00001918	[QUERIED-CCO]	Direct sub-property of BFO_0000066 occurs_in
Partially Overlaps With	cco/mereotopology	Instance-level	Mereotopology	—	specialization of Connected With	owl:SymmetricProperty	CCO	cco:ont00001810	Immaterial Entity	Immaterial Entity	cco:ont00001797	[QUERIED-CCO]	Chains to cco:ont00001810 connected_with
Spatial Part Of	cco/mereotopology	Instance-level	Spatial	—	inverse of has spatial part	owl:inverseOf	CCO	obo:BFO_0000176	Independent Continuant	Independent Continuant	cco:ont00001944	[QUERIED-CCO]	Direct sub-property of BFO_0000176
Tangential Part Of	cco/mereotopology	Instance-level	Mereotopology	—	inverse of has tangential part	owl:inverseOf	CCO	cco:ont00001944	Independent Continuant	Independent Continuant	cco:ont00001796	[QUERIED-CCO]	Multi-hop: chains via cco:ont00001944 spatial_part_of to BFO_0000176
Is Geospatial Coordinate Reference System Of	cco/measurement	Instance-level	Geospatial	—	GCRS is reference system of Geospatial Region	—	CCO	obo:BFO_0000084	Information Content Entity	Geospatial Region	cco:ont00001900	[QUERIED-CCO]	Direct sub-property of BFO_0000084; required by v0.1 CCO Geospatial test corpus
Is Measurement Unit Of	cco/measurement	Instance-level	Measurement	—	Measurement Unit is unit of Measurement	—	CCO	obo:BFO_0000084	Information Content Entity	Information Content Entity	cco:ont00001961	[QUERIED-CCO]	Direct sub-property of BFO_0000084 specifically_depends_on
Is Reference System Of	cco/measurement	Instance-level	Reference System	—	Reference System is system of Measurement	—	CCO	obo:BFO_0000084	Information Content Entity	Information Content Entity	cco:ont00001997	[QUERIED-CCO]	Direct sub-property of BFO_0000084
Time Zone Identifier Used By	cco/measurement	Instance-level	Time Zone	—	Time Zone Identifier is used by Information Content Entity	—	CCO	obo:BFO_0000084	Information Content Entity	Information Content Entity	cco:ont00001837	[QUERIED-CCO]	Direct sub-property of BFO_0000084
Uses Geospatial Coordinate Reference System	cco/measurement	Instance-level	Geospatial	—	Geospatial Region uses GCRS	—	CCO	obo:BFO_0000101	Geospatial Region	Information Content Entity	cco:ont00001913	[QUERIED-CCO]	Direct sub-property of BFO_0000101; required by v0.1 CCO Geospatial test corpus
Uses Measurement Unit	cco/measurement	Instance-level	Measurement	—	Measurement uses Measurement Unit	—	CCO	obo:BFO_0000101	Information Content Entity	Information Content Entity	cco:ont00001863	[QUERIED-CCO]	Direct sub-property of BFO_0000101 is_carrier_of
Uses Reference System	cco/measurement	Instance-level	Reference System	—	Measurement uses Reference System	—	CCO	obo:BFO_0000101	Information Content Entity	Information Content Entity	cco:ont00001912	[QUERIED-CCO]	Direct sub-property of BFO_0000101
Uses Time Zone Identifier	cco/measurement	Instance-level	Time Zone	—	Information Content Entity uses Time Zone Identifier	—	CCO	obo:BFO_0000101	Information Content Entity	Information Content Entity	cco:ont00001908	[QUERIED-CCO]	Direct sub-property of BFO_0000101
Aggregate Bearer Of	cco/aggregate	Instance-level	Collective Realizable	—	Object Aggregate is bearer of SDC	—	CCO	—	Object Aggregate	Specifically Dependent Continuant	cco:ont00001836	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics (collective bearer-of pattern). Confirmed 2026-05-05 by SME label-semantic review: domain Object Aggregate + range SDC matches the collective-bearer-of pattern that defines cco/aggregate.
Aggregate Has Capability	cco/aggregate	Instance-level	Collective Realizable	—	Object Aggregate has Capability	—	CCO	cco:ont00001836	Object Aggregate	Disposition	cco:ont00001898	[QUERIED-CCO]	Chains to cco:ont00001836 aggregate_bearer_of (no further BFO grounding)
Aggregate Has Quality	cco/aggregate	Instance-level	Collective Realizable	—	Object Aggregate has Quality	—	CCO	cco:ont00001836	Object Aggregate	Quality	cco:ont00001907	[QUERIED-CCO]	Chains to cco:ont00001836 aggregate_bearer_of
Capability Of Aggregate	cco/aggregate	Instance-level	Collective Realizable	—	Capability inheres in Object Aggregate	—	CCO	cco:ont00001809	Disposition	Object Aggregate	cco:ont00001880	[QUERIED-CCO]	Chains to cco:ont00001809 inheres_in_aggregate (no further BFO grounding)
Inheres In Aggregate	cco/aggregate	Instance-level	Collective Realizable	—	SDC inheres in Object Aggregate	—	CCO	—	Specifically Dependent Continuant	Object Aggregate	cco:ont00001809	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics (inverse of aggregate_bearer_of). Confirmed 2026-05-05 by SME label-semantic review: domain SDC + range Object Aggregate matches the collective-inheres-in pattern.
Delimits	cco/organizational	Instance-level	Organization	—	Boundary delimits Region	—	CCO	—	Independent Continuant	Independent Continuant	cco:ont00001864	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module ambiguous between cco/mereotopology (boundary/region pattern) and cco/organizational (delimitation pattern). Confirmed 2026-05-05 by SME decision: cco/organizational for v0.1. Reassign to cco/mereotopology if Phase 6 corpus surfaces the boundary-region interpretation; v0.1 default favors organizational based on label-semantic frequency in CCO usage.
Has Affiliate	cco/organizational	Instance-level	Organization	—	Organization has Affiliate	—	CCO	—	Organization	Agent	cco:ont00001977	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics. Confirmed 2026-05-05 by SME label-semantic review: domain Organization + range Agent + label "affiliate" matches cco/organizational discipline (affiliation/membership pattern).
Has Interest In	cco/organizational	Instance-level	Organization	—	Agent has Interest In Entity	—	CCO	—	Agent	Entity	cco:ont00001984	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics. Confirmed 2026-05-05 by SME label-semantic review: domain Agent + interest-bearing pattern matches cco/organizational (institutional interest tracking is organizational).
Has Organizational Context	cco/organizational	Instance-level	Organization	—	Process has Organizational Context	—	CCO	—	Process	Organization	cco:ont00001992	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics. Confirmed 2026-05-05 by SME label-semantic review: label "organizational context" is the canonical organizational-discipline marker.
Has Subordinate Role	cco/organizational	Instance-level	Organization	—	Role has Subordinate Role	—	CCO	—	Role	Role	cco:ont00001951	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics. Confirmed 2026-05-05 by SME label-semantic review: subordinate-role hierarchy is structurally organizational (chain-of-command pattern).
Has Subsidiary	cco/organizational	Instance-level	Organization	—	Organization has Subsidiary	—	CCO	cco:ont00001977	Organization	Organization	cco:ont00001794	[QUERIED-CCO]	Chains to cco:ont00001977 has_affiliate
Is Affiliated With	cco/organizational	Instance-level	Organization	—	Agent is affiliated with Organization	owl:SymmetricProperty	CCO	—	Agent	Organization	cco:ont00001939	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module assigned by label semantics (paired with Has Affiliate; symmetric over agent-organization affiliation). Confirmed 2026-05-05 by SME label-semantic review.
Is Delimited By	cco/organizational	Instance-level	Organization	—	inverse of delimits	owl:inverseOf	CCO	—	Independent Continuant	Independent Continuant	cco:ont00001859	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module follows Delimits's assignment per inverse-pair discipline. Confirmed 2026-05-05 by SME decision (paired with Delimits): cco/organizational for v0.1; reassign to cco/mereotopology jointly with Delimits if Phase 6 corpus surfaces the boundary-region interpretation.
Is Interest Of	cco/organizational	Instance-level	Organization	—	inverse of has interest in	owl:inverseOf	CCO	—	Entity	Agent	cco:ont00001866	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module follows Has Interest In's assignment per inverse-pair discipline. Confirmed 2026-05-05 by SME label-semantic review.
Is Organizational Context Of	cco/organizational	Instance-level	Organization	—	inverse of has organizational context	owl:inverseOf	CCO	—	Organization	Process	cco:ont00001846	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module follows Has Organizational Context's assignment per inverse-pair discipline. Confirmed 2026-05-05 by SME label-semantic review.
